,Touches,Take-Ons,Carries,Receiving,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
68,Dan Burn,eng ENG,DF,Newcastle Utd,32-266,1992,22.0,1390,241,820,512,60,28,1390,2,2,100.0,0,0.0,833,3663,1469,3,2,0,6,2,954,3,Matches,,,,,,
69,Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-068,1994,10.3,350,21,69,129,160,18,350,24,9,37.5,14,58.3,216,1458,696,38,13,10,17,13,220,65,Matches,,,,,,
70,Moisés Caicedo,ec ECU,MF,Chelsea,23-089,2001,22.6,1612,54,352,973,302,10,1612,34,14,41.2,12,35.3,909,3978,1921,22,17,2,23,14,1134,25,Matches,,,,,,
71,Tom Cairney,sct SCO,MF,Fulham,34-010,1991,4.4,477,5,62,258,164,7,477,11,4,36.4,3,27.3,329,1591,766,12,15,3,3,3,397,20,Matches,,,,,,
72,Jens Cajuste,se SWE,MF,Ipswich Town,25-173,1999,10.7,495,25,147,252,103,6,495,19,11,57.9,5,26.3,234,1273,699,15,12,3,11,5,294,7,Matches,,,,,,
73,Riccardo Calafiori,it ITA,DF,Arsenal,22-256,2002,8.4,507,28,150,195,166,20,507,11,8,72.7,2,18.2,229,1221,621,13,8,3,10,4,293,20,Matches,,,,,,
74,Dominic Calvert-Lewin,eng ENG,FW,Everton,27-320,1997,17.5,491,21,38,204,254,82,491,25,10,40.0,13,52.0,268,1397,444,22,8,16,71,32,402,105,Matches,,,,,,
75,Diego Carlos,br BRA,DF,Aston Villa,31-321,1993,9.2,674,86,331,330,15,6,674,2,2,100.0,0,0.0,419,2133,1162,3,3,0,1,2,481,0,Matches,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,,,,,,
76,Fabio Carvalho,pt POR,"FW,MF",Brentford,22-153,2002,4.8,231,4,42,82,108,20,231,14,2,14.3,10,71.4,128,648,329,8,3,0,13,8,135,21,Matches,,,,,,
77,Casemiro,br BRA,MF,Manchester Utd,32-342,1992,9.3,727,47,200,386,145,25,727,5,3,60.0,2,40.0,394,1267,588,3,7,0,6,8,490,19,Matches,,,,,,
78,Kaelan Casey,eng ENG,DF,West Ham,20-094,2004,0.0,1,1,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches,,,,,,
79,Matty Cash,pl POL,DF,Aston Villa,27-176,1997,14.0,712,48,259,295,168,28,712,26,13,50.0,11,42.3,350,2308,1143,32,30,4,10,4,407,46,Matches,,,,,,
80,Timothy Castagne,be BEL,DF,Fulham,29-056,1995,9.0,634,44,250,252,133,18,634,7,4,57.1,1,14.3,312,1288,641,12,6,1,4,4,386,31,Matches,,,,,,
81,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25-209,1999,11.8,594,66,275,276,51,14,594,10,6,60.0,2,20.0,278,1213,661,11,9,1,4,7,317,6,Matches,,,,,,
82,Trevoh Chalobah,eng ENG,DF,Chelsea,25-209,1999,2.0,155,12,70,73,15,3,155,1,1,100.0,0,0.0,79,307,169,2,2,0,0,0,112,0,Matches,,,,,,
83,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,27-349,1997,6.8,281,6,46,141,99,12,281,6,3,50.0,3,50.0,138,697,380,10,7,0,9,3,192,20,Matches,,,,,,
84,Federico Chiesa,it ITA,FW,Liverpool,27-097,1997,0.3,23,0,2,11,10,3,23,1,0,0.0,1,100.0,18,67,34,2,0,1,1,3,18,4,Matches,,,,,,
85,Chiquinho,pt POR,MF,Wolves,24-360,2000,0.1,3,0,0,1,2,1,3,0,0,,0,,1,13,5,0,0,0,0,0,2,0,Matches,,,,,,
86,Hamza Choudhury,eng ENG,"MF,DF",Leicester City,27-121,1997,1.5,100,4,19,61,20,3,100,4,3,75.0,1,25.0,63,246,130,4,2,2,1,0,71,6,Matches,,,,,,
87,Ryan Christie,sct SCO,MF,Bournemouth,29-343,1995,18.6,1075,62,204,604,287,34,1075,39,17,43.6,19,48.7,569,2959,1359,27,34,5,37,20,607,39,Matches,,,,,,
88,Harry Clarke,eng ENG,DF,Ipswich Town,23-334,2001,4.2,268,18,100,122,47,2,268,2,1,50.0,1,50.0,118,555,222,5,7,0,4,2,163,2,Matches,,,,,,
89,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,24-068,2000,6.7,277,7,62,123,102,18,277,26,17,65.4,6,23.1,154,1114,588,16,9,4,15,11,173,29,Matches,,,,,,
90,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,33-300,1991,4.4,199,16,76,91,32,2,199,1,0,0.0,1,100.0,107,463,249,5,2,2,4,2,122,7,Matches,,,,,,
91,Conor Coady,eng ENG,DF,Leicester City,31-340,1993,8.0,503,84,267,227,9,3,503,1,1,100.0,0,0.0,348,1318,677,0,2,1,4,0,375,0,Matches,,,,,,
92,Séamus Coleman,ie IRL,DF,Everton,36-111,1988,2.2,100,11,39,43,19,2,100,5,4,80.0,1,20.0,43,225,109,1,1,0,1,1,51,2,Matches,,,,,,
93,Nathan Collins,ie IRL,DF,Brentford,23-275,2001,23.0,1548,243,833,614,110,45,1548,9,5,55.6,3,33.3,823,4499,2663,19,8,0,10,6,957,13,Matches,,,,,,
94,Toby Collyer,eng ENG,MF,Manchester Utd,21-027,2004,1.4,84,3,26,40,18,1,84,1,1,100.0,0,0.0,46,183,48,0,0,0,6,1,53,2,Matches,,,,,,
95,Levi Colwill,eng ENG,DF,Chelsea,21-339,2003,21.0,1769,219,814,890,70,18,1769,6,3,50.0,3,50.0,1037,4892,2879,9,9,0,9,5,1298,4,Matches,,,,,,
96,Lewis Cook,eng ENG,"MF,DF",Bournemouth,27-362,1997,20.6,1207,54,271,650,303,14,1207,11,6,54.5,5,45.5,537,2802,1503,25,18,3,22,13,595,31,Matches,,,,,,
97,Maxwel Cornet,ci CIV,FW,Southampton,28-125,1996,0.8,34,1,8,14,13,2,34,1,0,0.0,1,100.0,16,73,26,1,0,1,3,0,23,5,Matches,,,,,,
98,Vladimír Coufal,cz CZE,DF,West Ham,32-161,1992,7.4,452,38,172,179,102,8,452,7,2,28.6,2,28.6,179,889,408,11,4,1,8,5,235,21,Matches,,,,,,
99,Woyo Coulibaly,fr FRA,DF,Leicester City,25-255,1999,0.0,4,0,3,2,0,0,4,0,0,,0,,3,17,4,0,0,0,1,0,1,0,Matches,,,,,,
100,Aaron Cresswell,eng ENG,DF,West Ham,35-046,1989,2.3,165,10,55,79,33,1,165,0,0,,0,,76,285,119,3,5,0,1,0,96,2,Matches,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,,,,,,
101,Marc Cucurella,es ESP,DF,Chelsea,26-192,1998,19.0,1264,67,384,611,274,37,1264,7,2,28.6,5,71.4,533,2264,1375,22,10,1,14,4,797,64,Matches,,,,,,
102,Jorge Cuenca,es ESP,DF,Fulham,25-074,1999,1.0,52,15,35,17,1,0,52,0,0,,0,,13,47,29,0,0,0,0,0,22,0,Matches,,,,,,
103,Matheus Cunha,br BRA,"MF,FW",Wolves,25-248,1999,19.8,1025,17,134,476,454,91,1024,93,41,44.1,41,44.1,582,4662,2339,79,61,29,54,34,678,118,Matches,,,,,,
104,Patson Daka,zm ZAM,"FW,MF",Leicester City,26-113,1998,3.1,96,6,15,41,43,14,96,5,1,20.0,2,40.0,51,238,107,3,4,1,4,7,59,16,Matches,,,,,,
105,Diogo Dalot,pt POR,DF,Manchester Utd,25-318,1999,21.6,1380,84,467,563,361,36,1380,27,13,48.1,12,44.4,769,3422,1831,39,30,9,26,8,824,104,Matches,,,,,,
106,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-211,2000,18.9,1095,27,217,505,391,39,1095,56,30,53.6,20,35.7,632,3600,1853,43,33,5,33,32,723,73,Matches,,,,,,
107,Danilo,br BRA,MF,Nott'ham Forest,23-276,2001,0.2,6,0,2,4,0,0,6,3,1,33.3,2,66.7,4,26,3,0,0,0,1,0,3,0,Matches,,,,,,
108,Jayden Danns,eng ENG,MF,Liverpool,19-014,2006,0.1,2,0,0,0,2,0,2,0,0,,0,,1,2,1,0,0,0,0,1,1,0,Matches,,,,,,
109,Ben Davies,wls WAL,DF,Tottenham,31-281,1993,5.0,423,63,220,183,20,3,423,0,0,,0,,247,1257,745,4,5,0,1,0,299,4,Matches,,,,,,
110,Leif Davis,eng ENG,DF,Ipswich Town,25-018,2000,22.5,1135,95,418,355,378,34,1135,34,11,32.4,17,50.0,504,2808,1517,38,19,9,29,8,579,95,Matches,,,,,,
111,Craig Dawson,eng ENG,DF,Wolves,34-269,1990,10.8,671,130,396,249,28,14,671,5,1,20.0,2,40.0,390,1819,938,6,1,0,2,0,443,5,Matches,,,,,,
112,Kevin De Bruyne,be BEL,MF,Manchester City,33-216,1991,11.0,870,9,50,293,533,50,870,21,9,42.9,10,47.6,494,2473,1335,35,34,14,16,20,658,99,Matches,,,,,,
113,Liam Delap,eng ENG,FW,Ipswich Town,21-357,2003,18.6,390,20,47,160,194,53,388,53,24,45.3,24,45.3,266,2086,954,35,30,16,67,45,313,68,Matches,,,,,,
114,Sepp van den Berg,nl NED,DF,Brentford,23-041,2001,17.9,971,178,491,362,120,26,971,7,4,57.1,3,42.9,402,1776,842,5,8,0,9,4,535,23,Matches,,,,,,
