,Touches,Take-Ons,Carries,Receiving,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC
Dominic Calvert-Lewin,engENG,FW,Everton,27-333,1997,17.5,491,21,38,204,254,82,491,25,10,40.0,13,52.0,268,1397,444,22,8,16,71,32,402,105,Matches
Diego Carlos,brBRA,DF,Aston Villa,31-334,1993,9.2,674,86,331,330,15,6,674,2,2,100.0,0,0.0,419,2133,1162,3,3,0,1,2,481,0,Matches
Fabio Carvalho,ptPOR,"FW,MF",Brentford,22-166,2002,4.8,237,4,42,85,111,21,237,14,2,14.3,10,71.4,132,679,353,9,3,0,13,8,138,22,Matches
Casemiro,brBRA,MF,Manchester Utd,32-355,1992,9.3,727,47,200,386,145,25,727,5,3,60.0,2,40.0,394,1267,588,3,7,0,6,8,490,19,Matches
Kaelan Casey,engENG,DF,West Ham,20-107,2004,0.0,1,1,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
Matty Cash,plPOL,DF,Aston Villa,27-189,1997,14.0,712,48,259,295,168,28,712,26,13,50.0,11,42.3,350,2308,1143,32,30,4,10,4,407,46,Matches
Timothy Castagne,beBEL,DF,Fulham,29-069,1995,10.0,680,52,273,267,141,19,680,7,4,57.1,1,14.3,328,1333,653,12,6,1,6,4,403,35,Matches
Trevoh Chalobah,engENG,DF,Crystal Palace,25-222,1999,11.8,594,66,275,276,51,14,594,10,6,60.0,2,20.0,278,1213,661,11,9,1,4,7,317,6,Matches
Trevoh Chalobah,engENG,DF,Chelsea,25-222,1999,2.0,164,12,72,80,15,3,164,1,1,100.0,0,0.0,88,337,180,2,2,0,0,0,121,0,Matches
Conor Chaplin,engENG,"MF,FW",Ipswich Town,27-362,1997,6.8,281,6,46,141,99,12,281,6,3,50.0,3,50.0,138,697,380,10,7,0,9,3,192,20,Matches
Federico Chiesa,itITA,FW,Liverpool,27-110,1997,0.3,23,0,2,11,10,3,23,1,0,0.0,1,100.0,18,67,34,2,0,1,1,3,18,4,Matches
Chiquinho,ptPOR,MF,Wolves,25-007,2000,0.1,3,0,0,1,2,1,3,0,0,,0,,1,13,5,0,0,0,0,0,2,0,Matches
