,Standard,Expected,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG
Jack Clarke,engENG,"FW,MF",Ipswich Town,24-081,2000,6.8,0,11,1,9.1,1.63,0.15,0.00,0.00,19.2,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
Nathaniel Clyne,engENG,"DF,MF",Crystal Palace,33-313,1991,4.4,0,1,0,0.0,0.23,0.00,0.00,,32.3,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Conor Coady,engENG,DF,Leicester City,31-353,1993,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Séamus Coleman,ieIRL,DF,Everton,36-124,1988,2.2,0,1,1,100.0,0.46,0.46,0.00,0.00,10.5,0,0,0,0.6,0.6,0.57,-0.6,-0.6,Matches
Nathan Collins,ieIRL,DF,Brentford,23-288,2001,24.0,2,12,5,41.7,0.50,0.21,0.17,0.40,8.6,0,0,0,2.2,2.2,0.18,-0.2,-0.2,Matches
Toby Collyer,engENG,MF,Manchester Utd,21-040,2004,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Levi Colwill,engENG,DF,Chelsea,21-352,2003,22.0,0,7,1,14.3,0.32,0.05,0.00,0.00,8.1,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Lewis Cook,engENG,"MF,DF",Bournemouth,28-009,1997,21.6,1,10,2,20.0,0.46,0.09,0.10,0.50,24.1,1,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches
Maxwel Cornet,ciCIV,FW,Southampton,28-138,1996,0.8,0,1,0,0.0,1.25,0.00,0.00,,18.8,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches
Vladimír Coufal,czCZE,DF,West Ham,32-174,1992,8.2,0,4,1,25.0,0.49,0.12,0.00,0.00,16.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Woyo Coulibaly,frFRA,DF,Leicester City,25-268,1999,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Aaron Cresswell,engENG,DF,West Ham,35-059,1989,3.3,0,3,0,0.0,0.91,0.00,0.00,,29.8,2,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Marc Cucurella,esESP,DF,Chelsea,26-205,1998,20.0,2,12,3,25.0,0.60,0.15,0.17,0.67,16.3,0,0,0,1.6,1.6,0.13,+0.4,+0.4,Matches
Jorge Cuenca,esESP,DF,Fulham,25-087,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Matheus Cunha,brBRA,"MF,FW",Wolves,25-261,1999,20.8,11,71,29,40.8,3.41,1.39,0.15,0.38,20.4,6,0,0,5.2,5.2,0.07,+5.8,+5.8,Matches
Patson Daka,zmZAM,"FW,MF",Leicester City,26-126,1998,3.4,1,8,2,25.0,2.35,0.59,0.13,0.50,15.8,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches
Diogo Dalot,ptPOR,DF,Manchester Utd,25-331,1999,22.6,0,18,4,22.2,0.80,0.18,0.00,0.00,17.2,0,0,0,1.4,1.4,0.08,-1.4,-1.4,Matches
Mikkel Damsgaard,dkDEN,"MF,FW",Brentford,24-224,2000,19.9,2,22,7,31.8,1.10,0.35,0.09,0.29,15.9,2,0,0,2.0,2.0,0.09,0.0,0.0,Matches
Danilo,brBRA,MF,Nott'ham Forest,23-289,2001,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jayden Danns,engENG,MF,Liverpool,19-027,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ben Davies,wlsWAL,DF,Tottenham,31-294,1993,6.0,0,1,0,0.0,0.17,0.00,0.00,,10.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Leif Davis,engENG,DF,Ipswich Town,25-031,2000,23.5,1,12,2,16.7,0.51,0.09,0.08,0.50,19.6,2,0,0,0.8,0.8,0.07,+0.2,+0.2,Matches
Craig Dawson,engENG,DF,Wolves,34-282,1990,10.8,0,5,1,20.0,0.46,0.09,0.00,0.00,8.5,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches
Kevin De Bruyne,beBEL,MF,Manchester City,33-229,1991,11.2,2,33,8,24.2,2.94,0.71,0.06,0.25,22.5,4,0,0,2.5,2.5,0.08,-0.5,-0.5,Matches
Liam Delap,engENG,FW,Ipswich Town,22-004,2003,19.6,9,39,19,48.7,1.99,0.97,0.18,0.37,16.0,0,2,2,7.2,5.6,0.14,+1.8,+1.4,Matches
Sepp van den Berg,nlNED,DF,Brentford,23-054,2001,18.9,0,12,4,33.3,0.64,0.21,0.00,0.00,11.8,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Matches
Justin Devenny,nirNIR,MF,Crystal Palace,21-124,2003,3.0,1,5,2,40.0,1.68,0.67,0.20,0.50,21.0,1,0,0,0.5,0.5,0.09,+0.5,+0.5,Matches
Kiernan Dewsbury-Hall,engENG,MF,Chelsea,26-159,1998,1.5,0,1,0,0.0,0.67,0.00,0.00,,7.8,0,0,0,0.2,0.2,0.22,-0.2,-0.2,Matches
Amad Diallo,ciCIV,"FW,MF",Manchester Utd,22-216,2002,17.7,6,40,13,32.5,2.26,0.73,0.15,0.46,17.7,0,0,0,4.1,4.1,0.10,+1.9,+1.9,Matches
Rúben Dias,ptPOR,DF,Manchester City,27-274,1997,13.1,0,13,3,23.1,0.99,0.23,0.00,0.00,20.1,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Matches
Luis Díaz,coCOL,FW,Liverpool,28-030,1997,15.9,8,46,20,43.5,2.90,1.26,0.17,0.40,13.9,0,0,0,6.8,6.8,0.15,+1.2,+1.2,Matches
Tyler Dibling,engENG,"FW,MF",Southampton,18-337,2006,13.7,2,23,9,39.1,1.68,0.66,0.09,0.22,20.5,0,0,0,2.1,2.1,0.09,-0.1,-0.1,Matches
