,Standard,Expected,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
263,Ezri Konsa,eng ENG,DF,Aston Villa,27-112,1997,21.1,1,5,2,40.0,0.24,0.09,0.20,0.50,9.1,0,0,0,0.6,0.6,0.12,+0.4,+0.4,Matches,,,,
264,Mateo Kovačić,hr CRO,MF,Manchester City,30-282,1994,17.2,4,32,8,25.0,1.86,0.47,0.13,0.50,22.0,0,0,0,1.4,1.4,0.04,+2.6,+2.6,Matches,,,,
265,Caleb Kporha,eng ENG,DF,Crystal Palace,18-212,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
266,Emil Krafth,se SWE,DF,Newcastle Utd,30-194,1994,2.7,0,1,0,0.0,0.37,0.00,0.00,,14.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,,,,
267,Mohammed Kudus,gh GHA,"MF,FW",West Ham,24-194,2000,17.4,3,52,15,28.8,2.99,0.86,0.06,0.20,15.2,0,0,0,4.8,4.8,0.09,-1.8,-1.8,Matches,,,,
268,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,24-293,2000,21.7,6,38,14,36.8,1.75,0.65,0.16,0.43,14.8,0,0,0,3.7,3.7,0.10,+2.3,+2.3,Matches,,,,
269,Maxence Lacroix,fr FRA,DF,Crystal Palace,24-312,2000,21.0,1,19,4,21.1,0.90,0.19,0.05,0.25,12.4,0,0,0,1.8,1.8,0.10,-0.8,-0.8,Matches,,,,
270,Adam Lallana,eng ENG,MF,Southampton,36-278,1988,3.8,0,3,0,0.0,0.79,0.00,0.00,,18.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,,,,
271,Tariq Lamptey,gh GHA,DF,Brighton,24-135,2000,5.8,2,5,2,40.0,0.87,0.35,0.40,1.00,19.0,0,0,0,0.4,0.4,0.07,+1.6,+1.6,Matches,,,,
272,Will Lankshear,eng ENG,"FW,MF",Tottenham,19-298,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
273,Roméo Lavia,be BEL,MF,Chelsea,21-037,2004,5.9,0,1,0,0.0,0.17,0.00,0.00,,16.0,0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches,,,,
274,Mario Lemina,ga GAB,"MF,DF",Wolves,31-164,1993,15.2,1,18,5,27.8,1.19,0.33,0.06,0.20,21.9,0,0,0,1.4,1.4,0.08,-0.4,-0.4,Matches,,,,
275,Bernd Leno,de GER,GK,Fulham,32-345,1992,24.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,,,,
276,Jefferson Lerma,co COL,MF,Crystal Palace,30-110,1994,14.4,0,20,7,35.0,1.39,0.49,0.00,0.00,20.4,0,0,0,0.8,0.8,0.04,-0.8,-0.8,Matches,,,,
277,Rico Lewis,eng ENG,"DF,MF",Manchester City,20-083,2004,15.6,1,9,2,22.2,0.58,0.13,0.11,0.50,17.1,0,0,0,1.2,1.2,0.13,-0.2,-0.2,Matches,,,,
278,Keane Lewis-Potter,eng ENG,"DF,FW",Brentford,23-356,2001,21.3,1,21,11,52.4,0.98,0.52,0.05,0.09,19.9,1,0,0,2.3,2.3,0.11,-1.3,-1.3,Matches,,,,
279,Myles Lewis-Skelly,eng ENG,DF,Arsenal,18-139,2006,6.1,1,1,1,100.0,0.16,0.16,1.00,1.00,13.9,0,0,0,0.0,0.0,0.04,+1.0,+1.0,Matches,,,,
280,Matthijs de Ligt,nl NED,DF,Manchester Utd,25-184,1999,17.2,1,13,6,46.2,0.76,0.35,0.08,0.17,8.2,0,0,0,1.8,1.8,0.14,-0.8,-0.8,Matches,,,,
281,Pedro Lima,br BRA,DF,Wolves,18-226,2006,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
282,Victor Lindelöf,se SWE,"DF,MF",Manchester Utd,30-210,1994,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
283,Jesper Lindstrøm,dk DEN,FW,Everton,24-349,2000,9.7,0,26,9,34.6,2.68,0.93,0.00,0.00,21.0,6,0,0,2.0,2.0,0.08,-2.0,-2.0,Matches,,,,
284,Valentino Livramento,eng ENG,DF,Newcastle Utd,22-092,2002,18.3,0,3,1,33.3,0.16,0.05,0.00,0.00,20.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,,,,
285,Sean Longstaff,eng ENG,MF,Newcastle Utd,27-105,1997,8.0,0,6,1,16.7,0.75,0.12,0.00,0.00,13.5,0,0,0,0.6,0.6,0.10,-0.6,-0.6,Matches,,,,
286,Saša Lukić,rs SRB,MF,Fulham,28-183,1996,16.7,0,9,0,0.0,0.54,0.00,0.00,,20.1,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches,,,,
287,Joe Lumley,eng ENG,GK,Southampton,29-363,1995,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
288,Massimo Luongo,au AUS,MF,Ipswich Town,32-140,1992,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
289,Ian Maatsen,nl NED,DF,Aston Villa,22-339,2002,5.1,0,6,2,33.3,1.18,0.39,0.00,0.00,26.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,,,,
290,Alexis Mac Allister,ar ARG,MF,Liverpool,26-050,1998,18.1,1,25,7,28.0,1.38,0.39,0.04,0.14,17.6,0,0,0,1.9,1.9,0.08,-0.9,-0.9,Matches,,,,
291,James Maddison,eng ENG,MF,Tottenham,28-081,1996,14.4,8,35,16,45.7,2.42,1.11,0.23,0.50,16.4,4,0,0,4.9,4.9,0.14,+3.1,+3.1,Matches,,,,
292,Noni Madueke,eng ENG,FW,Chelsea,22-339,2002,15.9,7,64,25,39.1,4.02,1.57,0.11,0.28,14.7,0,0,0,7.6,7.6,0.12,-0.6,-0.6,Matches,,,,
293,Gabriel Magalhães,br BRA,DF,Arsenal,27-055,1997,21.1,3,20,5,25.0,0.95,0.24,0.15,0.60,9.2,0,0,0,2.5,2.5,0.12,+0.5,+0.5,Matches,,,,
294,Edmond-Paris Maghoma,eng ENG,MF,Brentford,23-280,2001,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
295,Harry Maguire,eng ENG,DF,Manchester Utd,31-344,1993,12.1,0,5,1,20.0,0.41,0.08,0.00,0.00,9.5,0,0,0,0.6,0.6,0.12,-0.6,-0.6,Matches,,,,
296,Kobbie Mainoo,eng ENG,MF,Manchester Utd,19-299,2005,14.3,0,10,1,10.0,0.70,0.07,0.00,0.00,20.2,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches,,,,
297,Tyrell Malacia,nl NED,DF,Manchester Utd,25-179,1999,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
298,Donyell Malen,nl NED,FW,Aston Villa,26-034,1999,0.8,0,3,3,100.0,3.86,3.86,0.00,0.00,18.5,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,,,,
299,Orel Mangala,be BEL,MF,Everton,26-331,1998,14.0,1,16,6,37.5,1.14,0.43,0.06,0.17,22.1,0,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches,,,,
300,Ryan Manning,ie IRL,DF,Southampton,28-243,1996,8.5,0,3,0,0.0,0.35,0.00,0.00,,16.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,,,,
301,Solly March,eng ENG,"MF,DF",Brighton,30-207,1994,0.3,0,1,0,0.0,3.60,0.00,0.00,,18.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,,,,
302,Omar Marmoush,eg EGY,"FW,MF",Manchester City,26-005,1999,1.6,0,3,0,0.0,1.87,0.00,0.00,,24.4,1,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,,,,
303,Gabriel Martinelli,br BRA,"FW,MF",Arsenal,23-239,2001,16.2,6,27,14,51.9,1.67,0.86,0.22,0.43,12.6,0,0,0,4.1,4.1,0.15,+1.9,+1.9,Matches,,,,
304,Emiliano Martínez,ar ARG,GK,Aston Villa,32-163,1992,23.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
305,Lisandro Martínez,ar ARG,DF,Manchester Utd,27-025,1998,19.5,2,17,6,35.3,0.87,0.31,0.12,0.33,15.9,0,0,0,1.3,1.3,0.08,+0.7,+0.7,Matches,,,,
306,Pape Matar Sarr,sn SEN,MF,Tottenham,22-151,2002,13.9,2,22,11,50.0,1.58,0.79,0.09,0.18,22.4,0,0,0,2.4,2.4,0.11,-0.4,-0.4,Matches,,,,
307,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,27-229,1997,20.7,10,46,17,37.0,2.22,0.82,0.17,0.47,15.3,0,2,2,9.7,8.2,0.18,+0.3,-0.2,Matches,,,,
308,Stephy Mavididi,eng ENG,FW,Leicester City,26-257,1998,14.3,3,20,6,30.0,1.40,0.42,0.15,0.50,15.0,1,0,0,1.5,1.5,0.08,+1.5,+1.5,Matches,,,,
309,Konstantinos Mavropanos,gr GRE,DF,West Ham,27-063,1997,15.6,0,14,4,28.6,0.90,0.26,0.00,0.00,16.7,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches,,,,
310,Noussair Mazraoui,ma MAR,DF,Manchester Utd,27-090,1997,20.4,0,10,2,20.0,0.49,0.10,0.00,0.00,20.9,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches,,,,
311,Bryan Mbeumo,cm CMR,FW,Brentford,25-189,1999,23.9,14,45,23,51.1,1.88,0.96,0.22,0.43,17.8,4,4,4,7.9,4.8,0.11,+6.1,+5.2,Matches,,,,
312,James Mcatee,eng ENG,"MF,FW",Manchester City,22-117,2002,1.0,1,4,1,25.0,4.04,1.01,0.25,1.00,14.6,0,0,0,0.8,0.8,0.20,+0.2,+0.2,Matches,,,,
313,Kasey McAteer,ie IRL,"FW,MF",Leicester City,23-082,2001,4.3,0,6,2,33.3,1.40,0.47,0.00,0.00,15.8,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches,,,,
314,Alex McCarthy,eng ENG,GK,Southampton,35-071,1989,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
315,John McGinn,sct SCO,"MF,FW",Aston Villa,30-117,1994,15.1,0,20,2,10.0,1.32,0.13,0.00,0.00,16.9,0,0,0,1.9,1.9,0.09,-1.9,-1.9,Matches,,,,
316,Dwight McNeil,eng ENG,"MF,FW",Everton,25-082,1999,12.7,3,23,8,34.8,1.82,0.63,0.13,0.38,22.0,0,0,0,0.9,0.9,0.04,+2.1,+2.1,Matches,,,,
317,Scott McTominay,sct SCO,MF,Manchester Utd,28-066,1996,0.2,0,1,0,0.0,4.74,0.00,0.00,,10.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,,,,
318,Ben Mee,eng ENG,DF,Brentford,35-144,1989,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
319,Jayden Meghoma,eng ENG,DF,Brentford,18-229,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
320,Mikel Merino,es ESP,MF,Arsenal,28-235,1996,8.5,2,16,6,37.5,1.88,0.70,0.13,0.33,12.8,0,0,0,2.2,2.2,0.13,-0.2,-0.2,Matches,,,,
321,Nikola Milenković,rs SRB,DF,Nott'ham Forest,27-123,1997,23.0,2,22,5,22.7,0.96,0.22,0.09,0.40,12.4,0,0,0,3.1,3.1,0.14,-1.1,-1.1,Matches,,,,
322,Lewis Miley,eng ENG,MF,Newcastle Utd,18-287,2006,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
323,James Milner,eng ENG,MF,Brighton,39-039,1986,1.9,0,2,0,0.0,1.07,0.00,0.00,,16.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,,,,
324,Tyrone Mings,eng ENG,DF,Aston Villa,31-336,1993,5.2,0,3,0,0.0,0.58,0.00,0.00,,8.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches,,,,
325,Yankuba Minteh,gm GAM,"FW,MF",Brighton,20-205,2004,9.3,3,16,6,37.5,1.71,0.64,0.19,0.50,15.0,0,0,0,2.4,2.4,0.15,+0.6,+0.6,Matches,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,,,,
326,Tyrick Mitchell,eng ENG,DF,Crystal Palace,25-164,1999,23.2,0,9,2,22.2,0.39,0.09,0.00,0.00,13.6,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches,,,,
327,Kaoru Mitoma,jp JPN,"FW,MF",Brighton,27-268,1997,21.0,5,39,16,41.0,1.86,0.76,0.13,0.31,14.5,0,0,0,5.1,5.1,0.13,-0.1,-0.1,Matches,,,,
328,Jakub Moder,pl POL,MF,Brighton,25-311,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
329,Mikey Moore,eng ENG,"FW,MF",Tottenham,17-185,2007,2.1,0,3,0,0.0,1.46,0.00,0.00,,19.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches,,,,
330,Morato,br BRA,DF,Nott'ham Forest,23-227,2001,5.9,0,1,0,0.0,0.17,0.00,0.00,,7.0,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches,,,,
331,Álex Moreno,es ESP,DF,Nott'ham Forest,31-249,1993,9.0,0,6,0,0.0,0.66,0.00,0.00,,23.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,,,,
332,Sam Morsy,eg EGY,MF,Ipswich Town,33-155,1991,21.1,1,8,1,12.5,0.38,0.05,0.13,1.00,25.6,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches,,,,
333,Yerson Mosquera,co COL,DF,Wolves,23-286,2001,4.9,0,2,0,0.0,0.41,0.00,0.00,,12.4,0,0,0,0.3,0.3,0.17,-0.3,-0.3,Matches,,,,
334,Mason Mount,eng ENG,"MF,FW",Manchester Utd,26-033,1999,2.7,0,3,2,66.7,1.09,0.73,0.00,0.00,17.3,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matches,,,,
335,Divin Mubama,eng ENG,FW,Manchester City,20-110,2004,0.3,0,1,0,0.0,3.21,0.00,0.00,,17.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,,,,
336,Mykhailo Mudryk,ua UKR,FW,Chelsea,24-038,2001,1.7,0,1,1,100.0,0.60,0.60,0.00,0.00,11.6,0,0,0,0.3,0.3,0.25,-0.3,-0.3,Matches,,,,
337,Rodrigo Muniz,br BRA,FW,Fulham,23-284,2001,7.5,4,25,11,44.0,3.35,1.47,0.16,0.36,11.7,0,0,0,3.7,3.7,0.15,+0.3,+0.3,Matches,,,,
338,Daniel Muñoz,co COL,DF,Crystal Palace,28-262,1996,22.0,2,23,8,34.8,1.04,0.36,0.09,0.25,12.3,0,0,0,3.5,3.5,0.15,-1.5,-1.5,Matches,,,,
339,Arijanet Muric,xk KVX,GK,Ipswich Town,26-097,1998,18.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
340,Murillo,br BRA,DF,Nott'ham Forest,22-223,2002,22.5,1,18,4,22.2,0.80,0.18,0.06,0.25,24.6,3,0,0,1.1,1.1,0.06,-0.1,-0.1,Matches,,,,
341,Jacob Murphy,eng ENG,FW,Newcastle Utd,29-354,1995,14.9,4,29,10,34.5,1.95,0.67,0.14,0.40,18.9,0,0,0,2.6,2.6,0.09,+1.4,+1.4,Matches,,,,
342,Vitaliy Mykolenko,ua UKR,DF,Everton,25-259,1999,20.2,0,11,0,0.0,0.54,0.00,0.00,,20.9,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches,,,,
343,Iliman Ndiaye,sn SEN,FW,Everton,24-343,2000,20.6,6,24,10,41.7,1.17,0.49,0.21,0.50,16.5,0,1,1,3.6,2.8,0.12,+2.4,+2.2,Matches,,,,
344,Wilfred Ndidi,ng NGA,MF,Leicester City,28-058,1996,13.5,0,12,6,50.0,0.89,0.44,0.00,0.00,13.6,0,0,0,1.4,1.4,0.12,-1.4,-1.4,Matches,,,,
345,Kosta Nedeljković,rs SRB,DF,Aston Villa,19-058,2005,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
346,Reiss Nelson,eng ENG,FW,Arsenal,25-064,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
347,Reiss Nelson,eng ENG,FW,Fulham,25-064,1999,5.4,1,12,6,50.0,2.22,1.11,0.08,0.17,15.4,0,0,0,1.1,1.1,0.09,-0.1,-0.1,Matches,,,,
348,Neto,br BRA,GK,Bournemouth,35-208,1989,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
349,Pedro Neto,pt POR,FW,Chelsea,24-340,2000,12.6,2,26,7,26.9,2.07,0.56,0.08,0.29,18.0,0,0,0,1.1,1.1,0.04,+0.9,+0.9,Matches,,,,
350,Eddie Nketiah,eng ENG,"MF,FW",Crystal Palace,25-258,1999,7.0,0,24,7,29.2,3.44,1.00,0.00,0.00,16.5,0,0,0,1.7,1.7,0.07,-1.7,-1.7,Matches,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,,,,
351,Christopher Nkunku,fr FRA,FW,Chelsea,27-090,1997,5.1,2,15,6,40.0,2.92,1.17,0.13,0.33,11.8,0,0,0,4.0,4.0,0.26,-2.0,-2.0,Matches,,,,
352,Matheus Nunes,pt POR,"DF,MF",Manchester City,26-169,1998,9.9,0,5,1,20.0,0.51,0.10,0.00,0.00,18.4,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches,,,,
353,Darwin Núñez,uy URU,FW,Liverpool,25-233,1999,9.2,4,25,10,40.0,2.73,1.09,0.16,0.40,14.5,0,0,0,3.4,3.4,0.14,+0.6,+0.6,Matches,,,,
354,Ethan Nwaneri,eng ENG,"MF,FW",Arsenal,17-328,2007,3.2,3,9,4,44.4,2.78,1.24,0.33,0.75,19.7,1,0,0,0.5,0.5,0.06,+2.5,+2.5,Matches,,,,
355,Christian Nørgaard,dk DEN,MF,Brentford,30-339,1994,18.8,2,21,7,33.3,1.12,0.37,0.10,0.29,15.3,0,0,0,2.4,2.4,0.12,-0.4,-0.4,Matches,,,,
356,Jake O'Brien,ie IRL,DF,Everton,23-273,2001,3.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
357,Matt O'Riley,dk DEN,MF,Brighton,24-083,2000,5.2,1,14,4,28.6,2.69,0.77,0.07,0.25,17.3,1,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches,,,,
358,Dara O'Shea,ie IRL,DF,Ipswich Town,25-345,1999,20.7,0,13,2,15.4,0.63,0.10,0.00,0.00,11.0,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches,,,,
359,Wilson Odobert,fr FRA,FW,Tottenham,20-076,2004,1.8,0,6,0,0.0,3.33,0.00,0.00,,16.8,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches,,,,
360,Chiedozie Ogbene,ie IRL,FW,Ipswich Town,27-287,1997,2.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
361,Caleb Okoli,it ITA,DF,Leicester City,23-214,2001,9.2,0,3,1,33.3,0.32,0.11,0.00,0.00,16.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,,,,
362,Robin Olsen,se SWE,GK,Aston Villa,35-035,1990,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
363,Amadou Onana,be BEL,MF,Aston Villa,23-180,2001,12.0,2,14,4,28.6,1.17,0.33,0.14,0.50,13.8,0,0,0,1.8,1.8,0.13,+0.2,+0.2,Matches,,,,
364,André Onana,cm CMR,GK,Manchester Utd,28-316,1996,24.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
365,Paul Onuachu,ng NGA,FW,Southampton,30-260,1994,6.0,2,18,8,44.4,2.98,1.32,0.11,0.25,10.1,0,0,0,1.7,1.7,0.09,+0.3,+0.3,Matches,,,,
366,Frank Onyeka,ng NGA,MF,Brentford,27-042,1998,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
367,Lewis Orford,eng ENG,MF,West Ham,18-360,2006,0.5,0,1,0,0.0,1.84,0.00,0.00,,12.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,,,,
368,Stefan Ortega,de GER,GK,Manchester City,32-098,1992,9.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
369,William Osula,dk DEN,"FW,MF",Newcastle Utd,21-192,2003,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
370,Dango Ouattara,bf BFA,FW,Bournemouth,23-001,2002,13.8,6,37,13,35.1,2.68,0.94,0.16,0.46,12.7,0,0,0,5.8,5.8,0.16,+0.2,+0.2,Matches,,,,
371,Nico O’Reilly,eng ENG,MF,Manchester City,19-328,2005,0.2,0,1,0,0.0,4.74,0.00,0.00,,31.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,,,,
372,Cole Palmer,eng ENG,MF,Chelsea,22-282,2002,23.3,14,82,33,40.2,3.52,1.41,0.13,0.33,20.4,11,3,3,12.3,9.9,0.12,+1.7,+1.1,Matches,,,,
373,Emerson Palmieri,it ITA,DF,West Ham,30-193,1994,18.1,2,12,6,50.0,0.66,0.33,0.17,0.33,18.1,3,0,0,1.6,1.6,0.13,+0.4,+0.4,Matches,,,,
374,Lucas Paquetá,br BRA,"MF,FW",West Ham,27-169,1997,17.9,4,31,3,9.7,1.73,0.17,0.06,0.67,19.0,2,2,2,4.7,3.2,0.10,-0.7,-1.2,Matches,,,,
375,Thomas Partey,gh GHA,"MF,DF",Arsenal,31-244,1993,20.6,3,18,6,33.3,0.87,0.29,0.17,0.50,18.7,0,0,0,1.6,1.6,0.09,+1.4,+1.4,Matches,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,,,,
376,Nathan Patterson,sct SCO,"DF,FW",Everton,23-119,2001,1.4,0,1,0,0.0,0.70,0.00,0.00,,16.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,,,,
377,Andreas Pereira,br BRA,MF,Fulham,29-042,1996,14.2,2,25,8,32.0,1.77,0.57,0.08,0.25,22.2,5,0,1,3.0,2.2,0.09,-1.0,-0.2,Matches,,,,
378,Ricardo Pereira,pt POR,DF,Leicester City,31-129,1993,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
379,Kalvin Phillips,eng ENG,MF,Ipswich Town,29-072,1995,9.6,0,7,1,14.3,0.73,0.10,0.00,0.00,23.6,2,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,,,,
380,Jaden Philogene Bidace,eng ENG,"FW,MF",Aston Villa,23-004,2002,3.7,0,7,0,0.0,1.90,0.00,0.00,,16.0,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches,,,,
381,Jaden Philogene Bidace,eng ENG,"FW,MF",Ipswich Town,23-004,2002,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
382,Jordan Pickford,eng ENG,GK,Everton,30-342,1994,23.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
383,Ethan Pinnock,jm JAM,DF,Brentford,31-259,1993,16.0,2,9,6,66.7,0.56,0.37,0.22,0.33,11.2,0,0,0,0.9,0.9,0.10,+1.1,+1.1,Matches,,,,
384,Daniel Podence,pt POR,"MF,FW",Wolves,29-114,1995,0.5,0,1,0,0.0,1.87,0.00,0.00,,24.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,,,,
385,Alfie Pond,eng ENG,DF,Wolves,20-348,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
386,Nick Pope,eng ENG,GK,Newcastle Utd,32-299,1992,15.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
387,Pedro Porro,es ESP,DF,Tottenham,25-152,1999,22.1,2,35,8,22.9,1.58,0.36,0.06,0.25,22.8,3,0,0,1.5,1.5,0.04,+0.5,+0.5,Matches,,,,
388,Jarell Quansah,eng ENG,DF,Liverpool,22-014,2003,2.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
389,Hákon Rafn Valdimarsson,is ISL,GK,Brentford,23-122,2001,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
390,Aaron Ramsdale,eng ENG,GK,Southampton,26-274,1998,16.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
391,Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,23-260,2001,11.1,1,13,4,30.8,1.17,0.36,0.08,0.25,16.4,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches,,,,
392,Marcus Rashford,eng ENG,"FW,MF",Manchester Utd,27-104,1997,10.9,4,16,9,56.3,1.47,0.83,0.25,0.44,16.4,0,0,0,1.7,1.7,0.11,+2.3,+2.3,Matches,,,,
393,David Raya,es ESP,GK,Arsenal,29-150,1995,24.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
394,Harrison Reed,eng ENG,MF,Fulham,30-016,1995,0.7,0,1,0,0.0,1.48,0.00,0.00,,28.5,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,,,,
395,Remy Rees-Dottin,eng ENG,FW,Bournemouth,18-343,2006,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
396,Sergio Reguilón,es ESP,DF,Tottenham,28-058,1996,1.4,0,1,0,0.0,0.73,0.00,0.00,,5.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,,,,
