,SCA,SCA Types,GCA,GCA Types,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90
Alexis Mac Allister,arARG,MF,Liverpool,26-050,1998,18.1,81,4.47,64,7,2,5,1,2,9,0.50,8,0,0,1,0,0,Matches
James Maddison,engENG,MF,Tottenham,28-081,1996,14.4,64,4.44,45,7,4,3,5,0,13,0.90,9,1,2,1,0,0,Matches
Noni Madueke,engENG,FW,Chelsea,22-339,2002,15.9,59,3.71,42,0,8,5,3,1,8,0.50,5,0,0,1,1,1,Matches
Gabriel Magalhães,brBRA,DF,Arsenal,27-055,1997,21.1,28,1.33,24,0,0,3,1,0,6,0.28,4,0,0,1,1,0,Matches
Edmond-Paris Maghoma,engENG,MF,Brentford,23-280,2001,0.9,2,2.31,2,0,0,0,0,0,1,1.15,1,0,0,0,0,0,Matches
Harry Maguire,engENG,DF,Manchester Utd,31-344,1993,12.1,10,0.83,9,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Kobbie Mainoo,engENG,MF,Manchester Utd,19-299,2005,14.3,25,1.75,21,0,3,0,1,0,1,0.07,1,0,0,0,0,0,Matches
Tyrell Malacia,nlNED,DF,Manchester Utd,25-179,1999,1.1,2,1.80,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Donyell Malen,nlNED,FW,Aston Villa,26-034,1999,0.8,1,1.27,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Orel Mangala,beBEL,MF,Everton,26-331,1998,14.0,24,1.72,17,1,2,3,1,0,1,0.07,0,0,0,0,1,0,Matches
Ryan Manning,ieIRL,DF,Southampton,28-243,1996,8.5,24,2.83,14,9,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Solly March,engENG,"MF,DF",Brighton,30-207,1994,0.3,1,3.60,1,0,0,0,0,0,1,3.60,1,0,0,0,0,0,Matches
Omar Marmoush,egEGY,"FW,MF",Manchester City,26-005,1999,1.6,8,5.00,4,2,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
Gabriel Martinelli,brBRA,"FW,MF",Arsenal,23-239,2001,16.2,39,2.41,32,1,4,1,1,0,3,0.19,3,0,0,0,0,0,Matches
Emiliano Martínez,arARG,GK,Aston Villa,32-163,1992,23.5,3,0.13,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Lisandro Martínez,arARG,DF,Manchester Utd,27-025,1998,19.5,26,1.34,23,0,0,2,0,1,2,0.10,2,0,0,0,0,0,Matches
Pape Matar Sarr,snSEN,MF,Tottenham,22-151,2002,13.9,28,2.01,23,1,1,2,0,1,6,0.43,4,0,1,1,0,0,Matches
Jean-Philippe Mateta,frFRA,FW,Crystal Palace,27-229,1997,20.7,42,2.03,28,0,2,9,3,0,6,0.29,2,0,2,2,0,0,Matches
Stephy Mavididi,engENG,FW,Leicester City,26-257,1998,14.3,42,2.93,34,2,4,2,0,0,7,0.49,6,0,1,0,0,0,Matches
Konstantinos Mavropanos,grGRE,DF,West Ham,27-063,1997,15.6,13,0.83,9,0,1,2,0,1,0,0.00,0,0,0,0,0,0,Matches
Noussair Mazraoui,maMAR,DF,Manchester Utd,27-090,1997,20.4,31,1.52,27,0,0,1,2,1,1,0.05,1,0,0,0,0,0,Matches
Bryan Mbeumo,cmCMR,FW,Brentford,25-189,1999,23.9,96,4.01,71,12,9,1,3,0,10,0.42,8,0,2,0,0,0,Matches
James Mcatee,engENG,"MF,FW",Manchester City,22-117,2002,1.0,1,1.01,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
