,SCA,SCA Types,GCA,GCA Types,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
98,Vladimír Coufal,cz CZE,DF,West Ham,32-174,1992,8.2,13,1.59,9,4,0,0,0,0,1,0.12,0,1,0,0,0,0,Matches,,,,,,
99,Woyo Coulibaly,fr FRA,DF,Leicester City,25-268,1999,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
100,Aaron Cresswell,eng ENG,DF,West Ham,35-059,1989,3.3,9,2.74,3,6,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,,,,,,
101,Marc Cucurella,es ESP,DF,Chelsea,26-205,1998,20.0,33,1.65,30,1,0,2,0,0,2,0.10,2,0,0,0,0,0,Matches,,,,,,
102,Jorge Cuenca,es ESP,DF,Fulham,25-087,1999,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
103,Matheus Cunha,br BRA,"MF,FW",Wolves,25-261,1999,20.8,79,3.79,48,9,11,5,4,2,8,0.38,7,0,1,0,0,0,Matches,,,,,,
104,Patson Daka,zm ZAM,"FW,MF",Leicester City,26-126,1998,3.4,5,1.47,4,0,1,0,0,0,1,0.29,0,0,1,0,0,0,Matches,,,,,,
105,Diogo Dalot,pt POR,DF,Manchester Utd,25-331,1999,22.6,44,1.94,33,4,4,2,0,1,1,0.04,1,0,0,0,0,0,Matches,,,,,,
106,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-224,2000,19.9,80,4.02,60,10,3,2,1,4,16,0.80,10,3,1,0,1,1,Matches,,,,,,
107,Danilo,br BRA,MF,Nott'ham Forest,23-289,2001,0.9,3,3.46,3,0,0,0,0,0,1,1.15,1,0,0,0,0,0,Matches,,,,,,
108,Jayden Danns,eng ENG,MF,Liverpool,19-027,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
109,Ben Davies,wls WAL,DF,Tottenham,31-294,1993,6.0,2,0.33,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
110,Leif Davis,eng ENG,DF,Ipswich Town,25-031,2000,23.5,71,3.03,33,31,3,2,1,1,4,0.17,3,0,1,0,0,0,Matches,,,,,,
111,Craig Dawson,eng ENG,DF,Wolves,34-282,1990,10.8,7,0.65,6,0,0,1,0,0,2,0.19,1,0,0,1,0,0,Matches,,,,,,
112,Kevin De Bruyne,be BEL,MF,Manchester City,33-229,1991,11.2,77,6.85,55,17,1,2,1,1,10,0.89,8,1,0,1,0,0,Matches,,,,,,
113,Liam Delap,eng ENG,FW,Ipswich Town,22-004,2003,19.6,47,2.40,24,0,8,2,11,2,6,0.31,2,0,2,0,2,0,Matches,,,,,,
114,Sepp van den Berg,nl NED,DF,Brentford,23-054,2001,18.9,15,0.80,14,0,0,0,1,0,2,0.11,1,0,0,0,1,0,Matches,,,,,,
115,Justin Devenny,nir NIR,MF,Crystal Palace,21-124,2003,3.0,9,3.01,7,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
116,Kiernan Dewsbury-Hall,eng ENG,MF,Chelsea,26-159,1998,1.5,3,1.99,3,0,0,0,0,0,1,0.66,1,0,0,0,0,0,Matches,,,,,,
117,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,22-216,2002,17.7,80,4.52,54,9,7,2,4,4,16,0.90,7,0,3,1,1,4,Matches,,,,,,
118,Rúben Dias,pt POR,DF,Manchester City,27-274,1997,13.1,17,1.30,11,0,0,4,0,2,0,0.00,0,0,0,0,0,0,Matches,,,,,,
119,Luis Díaz,co COL,FW,Liverpool,28-030,1997,15.9,71,4.47,51,0,11,7,2,0,11,0.69,9,0,1,0,1,0,Matches,,,,,,
120,Tyler Dibling,eng ENG,"FW,MF",Southampton,18-337,2006,13.7,40,2.93,23,1,9,3,4,0,3,0.22,2,0,1,0,0,0,Matches,,,,,,
121,Lucas Digne,fr FRA,DF,Aston Villa,31-207,1993,19.7,50,2.54,30,14,1,4,0,1,4,0.20,4,0,0,0,0,0,Matches,,,,,,
122,Issa Diop,fr FRA,DF,Fulham,28-034,1997,11.9,5,0.42,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
123,Axel Disasi,fr FRA,DF,Chelsea,26-338,1998,4.0,2,0.49,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
124,Roman Dixon,eng ENG,DF,Everton,20-048,2004,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
125,Matt Doherty,ie IRL,DF,Wolves,33-027,1992,12.9,17,1.32,13,2,0,1,1,0,2,0.16,2,0,0,0,0,0,Matches,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,,,,,,
126,Jeremy Doku,be BEL,"FW,MF",Manchester City,22-261,2002,8.8,40,4.57,32,1,5,1,1,0,8,0.91,7,0,1,0,0,0,Matches,,,,,,
127,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26-229,1998,12.5,16,1.28,10,1,0,2,2,1,0,0.00,0,0,0,0,0,0,Matches,,,,,,
128,Alfie Dorrington,eng ENG,DF,Tottenham,19-298,2005,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
129,Abdoulaye Doucouré,ml MLI,MF,Everton,32-042,1993,18.7,36,1.93,33,0,1,1,0,1,1,0.05,0,0,0,0,0,1,Matches,,,,,,
130,Cheick Doucouré,ml MLI,MF,Crystal Palace,25-035,2000,5.0,9,1.79,5,0,0,2,1,1,3,0.60,1,0,0,1,1,0,Matches,,,,,,
131,Flynn Downes,eng ENG,MF,Southampton,26-023,1999,15.9,24,1.51,20,2,0,1,0,1,1,0.06,0,1,0,0,0,0,Matches,,,,,,
132,Tommy Doyle,eng ENG,MF,Wolves,23-118,2001,5.1,16,3.11,10,4,1,1,0,0,3,0.58,2,0,1,0,0,0,Matches,,,,,,
133,Radu Drăgușin,ro ROU,DF,Tottenham,23-009,2002,13.9,8,0.58,8,0,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches,,,,,,
134,Martin Dúbravka,sk SVK,GK,Newcastle Utd,36-028,1989,9.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
135,Lewis Dunk,eng ENG,DF,Brighton,33-083,1991,17.4,16,0.92,14,0,0,2,0,0,3,0.17,2,0,0,1,0,0,Matches,,,,,,
136,Jáder Durán,co COL,FW,Aston Villa,21-061,2003,7.1,18,2.54,9,0,0,4,3,2,1,0.14,0,0,0,0,0,1,Matches,,,,,,
137,Ederson,br BRA,GK,Manchester City,31-179,1993,15.0,4,0.27,4,0,0,0,0,0,2,0.13,2,0,0,0,0,0,Matches,,,,,,
138,George Edmundson,eng ENG,DF,Ipswich Town,27-165,1997,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
139,Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,27-027,1998,1.3,1,0.78,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
140,Odsonne Édouard,fr FRA,FW,Leicester City,27-027,1998,0.3,2,6.21,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
141,Samuel Edozie,eng ENG,"DF,FW",Southampton,22-015,2003,0.7,4,5.54,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
142,Ronnie Edwards,eng ENG,DF,Southampton,21-321,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
143,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,22-291,2002,16.2,63,3.89,38,12,3,3,7,0,11,0.68,7,2,1,0,1,0,Matches,,,,,,
144,Harvey Elliott,eng ENG,"MF,FW",Liverpool,21-314,2003,0.9,5,5.49,3,2,0,0,0,0,2,2.20,2,0,0,0,0,0,Matches,,,,,,
145,Yunus Emre Konak,tr TUR,"MF,FW",Brentford,19-033,2006,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
146,Julio Enciso,py PAR,MF,Ipswich Town,21-020,2004,1.1,6,5.40,3,1,1,0,0,1,1,0.90,0,1,0,0,0,0,Matches,,,,,,
147,Julio Enciso,py PAR,"MF,FW",Brighton,21-020,2004,3.3,12,3.69,5,1,3,1,2,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
148,Wataru Endo,jp JPN,MF,Liverpool,32-003,1993,1.0,2,2.07,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
149,Christian Eriksen,dk DEN,MF,Manchester Utd,32-364,1992,7.1,27,3.80,17,10,0,0,0,0,6,0.85,4,2,0,0,0,0,Matches,,,,,,
150,Romain Esse,eng ENG,MF,Crystal Palace,19-275,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,,,,,,
151,Pervis Estupiñán,ec ECU,DF,Brighton,27-022,1998,15.7,36,2.29,24,9,0,2,1,0,4,0.25,3,0,0,0,1,0,Matches,,,,,,
152,Evanilson,br BRA,FW,Bournemouth,25-129,1999,15.2,42,2.76,25,0,3,6,8,0,7,0.46,1,0,1,1,4,0,Matches,,,,,,
153,Jonny Evans,nir NIR,DF,Manchester Utd,37-040,1988,3.2,2,0.62,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
