,Playing Time,Performance,Expected,Progression,Per 90 Minutes,,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
224,Nicolas Jackson,sn SEN,FW,Chelsea,23-220,2001,22,21,"1,685",18.7,9,5,14,9,0,0,5,0,11.2,11.2,3.8,15.0,40,25,91,0.48,0.27,0.75,0.48,0.75,0.60,0.20,0.80,0.60,0.80,Matches,,,,,,,
225,Reece James,eng ENG,DF,Chelsea,25-049,1999,7,5,424,4.7,1,0,1,1,0,0,0,0,0.1,0.1,0.1,0.3,0,21,2,0.21,0.00,0.21,0.21,0.21,0.03,0.03,0.06,0.03,0.06,Matches,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,,,,,,
226,Vitaly Janelt,de GER,MF,Brentford,26-261,1998,21,18,"1,563",17.4,1,3,4,1,0,0,2,0,0.6,0.6,2.1,2.7,10,57,27,0.06,0.17,0.23,0.06,0.23,0.04,0.12,0.16,0.04,0.16,Matches,,,,,,,
227,Vitezslav Jaros,cz CZE,GK,Liverpool,23-187,2001,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
228,Daniel Jebbison,eng ENG,"FW,MF",Bournemouth,21-166,2003,5,0,48,0.5,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,2,2,6,0.00,0.00,0.00,0.00,0.00,0.39,0.37,0.76,0.39,0.76,Matches,,,,,,,
229,Mathias Jensen,dk DEN,MF,Brentford,29-025,1996,12,8,642,7.1,0,1,1,0,0,0,1,0,0.2,0.2,1.4,1.6,5,43,20,0.00,0.14,0.14,0.00,0.14,0.03,0.20,0.23,0.03,0.23,Matches,,,,,,,
230,Gabriel Jesus,br BRA,FW,Arsenal,27-298,1997,17,6,608,6.8,3,0,3,3,0,0,4,0,3.0,3.0,0.7,3.7,15,19,57,0.44,0.00,0.44,0.44,0.44,0.44,0.10,0.54,0.44,0.54,Matches,,,,,,,
231,Raúl Jiménez,mx MEX,FW,Fulham,33-266,1991,22,17,"1,387",15.4,8,2,10,5,3,3,3,0,8.1,5.7,2.4,8.1,19,28,65,0.52,0.13,0.65,0.32,0.45,0.52,0.15,0.68,0.37,0.53,Matches,,,,,,,
232,Kim Jisoo,kr KOR,DF,Brentford,20-033,2004,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
233,João Pedro,br BRA,"FW,MF",Brighton,23-122,2001,17,15,"1,295",14.4,5,5,10,4,1,1,3,0,3.9,3.1,2.3,5.4,47,50,93,0.35,0.35,0.69,0.28,0.63,0.27,0.16,0.43,0.22,0.38,Matches,,,,,,,
234,Joelinton,br BRA,"MF,FW",Newcastle Utd,28-165,1996,22,22,"1,851",20.6,4,1,5,4,0,0,8,0,3.7,3.7,1.5,5.2,32,93,94,0.19,0.05,0.24,0.19,0.24,0.18,0.07,0.25,0.18,0.25,Matches,,,,,,,
235,Ben Johnson,eng ENG,"DF,FW",Ipswich Town,25-002,2000,14,8,828,9.2,0,1,1,0,0,0,2,0,0.4,0.4,0.6,1.0,10,17,18,0.00,0.11,0.11,0.00,0.11,0.04,0.07,0.11,0.04,0.11,Matches,,,,,,,
236,Brennan Johnson,wls WAL,FW,Tottenham,23-248,2001,21,16,"1,492",16.6,7,2,9,7,0,0,3,0,8.0,8.0,1.3,9.3,46,50,153,0.42,0.12,0.54,0.42,0.54,0.48,0.08,0.56,0.48,0.56,Matches,,,,,,,
237,Sam Johnstone,eng ENG,GK,Wolves,31-307,1993,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
238,Curtis Jones,eng ENG,MF,Liverpool,23-362,2001,18,10,896,10.0,3,2,5,3,0,0,1,0,2.9,2.9,0.4,3.3,11,57,48,0.30,0.20,0.50,0.30,0.50,0.29,0.04,0.33,0.29,0.33,Matches,,,,,,,
