,Playing Time,Performance,Expected,Progression,Per 90 Minutes,,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A
Wes Burns,wlsWAL,"FW,DF",Ipswich Town,30-081,1994,18,12,926,10.3,0,1,1,0,0,0,1,0,0.5,0.5,1.6,2.2,38,8,65,0.00,0.10,0.10,0.00,0.10,0.05,0.16,0.21,0.05,0.21,Matches
Moisés Caicedo,ecECU,MF,Chelsea,23-102,2001,24,24,"2,125",23.6,1,2,3,1,0,0,6,0,0.6,0.6,2.3,2.8,25,127,26,0.04,0.08,0.13,0.04,0.13,0.02,0.10,0.12,0.02,0.12,Matches
Tom Cairney,sctSCO,MF,Fulham,34-023,1991,17,2,397,4.4,1,0,1,1,0,0,2,1,0.1,0.1,0.7,0.8,12,43,20,0.23,0.00,0.23,0.23,0.23,0.03,0.16,0.19,0.03,0.19,Matches
Jens Cajuste,seSWE,MF,Ipswich Town,25-186,1999,17,14,"1,042",11.6,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,16,30,8,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
Riccardo Calafiori,itITA,DF,Arsenal,22-269,2002,13,8,753,8.4,2,1,3,2,0,0,3,0,0.7,0.7,0.2,0.9,13,36,21,0.24,0.12,0.36,0.24,0.36,0.08,0.03,0.11,0.08,0.11,Matches
Dominic Calvert-Lewin,engENG,FW,Everton,27-333,1997,22,19,"1,574",17.5,3,1,4,3,0,0,2,0,6.1,6.1,0.6,6.7,22,19,105,0.17,0.06,0.23,0.17,0.23,0.35,0.04,0.39,0.35,0.39,Matches
Diego Carlos,brBRA,DF,Aston Villa,31-334,1993,10,8,830,9.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,3,34,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
Fabio Carvalho,ptPOR,"FW,MF",Brentford,22-166,2002,17,3,435,4.8,1,1,2,1,0,0,1,0,2.4,2.4,0.5,3.0,9,17,22,0.21,0.21,0.41,0.21,0.41,0.50,0.11,0.61,0.50,0.61,Matches
Casemiro,brBRA,MF,Manchester Utd,32-355,1992,14,10,837,9.3,1,0,1,1,0,0,1,0,1.1,1.1,2.1,3.2,3,44,19,0.11,0.00,0.11,0.11,0.11,0.12,0.23,0.34,0.12,0.34,Matches
Kaelan Casey,engENG,DF,West Ham,20-107,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Matty Cash,plPOL,DF,Aston Villa,27-189,1997,16,15,"1,258",14.0,1,1,2,1,0,0,5,0,0.2,0.2,1.0,1.2,32,28,46,0.07,0.07,0.14,0.07,0.14,0.02,0.07,0.09,0.02,0.09,Matches
Timothy Castagne,beBEL,DF,Fulham,29-069,1995,14,9,903,10.0,0,1,1,0,0,0,1,0,0.1,0.1,1.1,1.2,12,29,35,0.00,0.10,0.10,0.00,0.10,0.01,0.11,0.12,0.01,0.12,Matches
Trevoh Chalobah,engENG,DF,Crystal Palace,25-222,1999,12,12,"1,060",11.8,3,0,3,3,0,0,1,0,1.2,1.2,0.4,1.6,11,34,6,0.25,0.00,0.25,0.25,0.25,0.10,0.03,0.14,0.10,0.14,Matches
Trevoh Chalobah,engENG,DF,Chelsea,25-222,1999,3,2,181,2.0,0,1,1,0,0,0,0,0,0.1,0.1,1.1,1.3,2,6,0,0.00,0.50,0.50,0.00,0.50,0.07,0.56,0.63,0.07,0.63,Matches
Conor Chaplin,engENG,"MF,FW",Ipswich Town,27-362,1997,15,7,614,6.8,1,1,2,1,0,0,1,0,1.2,1.2,0.6,1.8,10,25,20,0.15,0.15,0.29,0.15,0.29,0.17,0.09,0.26,0.17,0.26,Matches
Federico Chiesa,itITA,FW,Liverpool,27-110,1997,3,0,28,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,1,4,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.52,0.52,0.52,Matches
Chiquinho,ptPOR,MF,Wolves,25-007,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.42,0.00,0.42,Matches
Hamza Choudhury,engENG,"MF,DF",Leicester City,27-134,1997,4,1,131,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,4,3,6,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.27,0.00,0.27,Matches
Ryan Christie,sctSCO,MF,Bournemouth,29-356,1995,23,21,"1,753",19.5,1,2,3,1,0,0,9,0,1.4,1.4,2.7,4.1,28,113,40,0.05,0.10,0.15,0.05,0.15,0.07,0.14,0.21,0.07,0.21,Matches
Harry Clarke,engENG,DF,Ipswich Town,23-347,2001,7,4,379,4.2,0,0,0,0,0,0,3,1,0.1,0.1,0.0,0.1,5,14,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
Jack Clarke,engENG,"FW,MF",Ipswich Town,24-081,2000,19,5,608,6.8,0,2,2,0,0,0,1,0,0.8,0.8,1.2,2.1,16,17,29,0.00,0.30,0.30,0.00,0.30,0.12,0.18,0.31,0.12,0.31,Matches
Nathaniel Clyne,engENG,"DF,MF",Crystal Palace,33-313,1991,11,4,397,4.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,5,6,7,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
Conor Coady,engENG,DF,Leicester City,31-353,1993,10,8,716,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,19,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Séamus Coleman,ieIRL,DF,Everton,36-124,1988,3,2,197,2.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,1,8,2,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.26,0.26,0.26,Matches
Nathan Collins,ieIRL,DF,Brentford,23-288,2001,24,24,"2,160",24.0,2,1,3,2,0,0,2,0,2.2,2.2,1.4,3.5,20,87,16,0.08,0.04,0.12,0.08,0.12,0.09,0.06,0.15,0.09,0.15,Matches
Toby Collyer,engENG,MF,Manchester Utd,21-040,2004,4,0,124,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,5,2,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches
Levi Colwill,engENG,DF,Chelsea,21-352,2003,22,22,"1,979",22.0,0,1,1,0,0,0,6,0,0.5,0.5,0.9,1.4,9,100,5,0.00,0.05,0.05,0.00,0.05,0.02,0.04,0.06,0.02,0.06,Matches
Lewis Cook,engENG,"MF,DF",Bournemouth,28-009,1997,23,21,"1,942",21.6,1,3,4,1,0,0,5,0,0.6,0.6,3.3,3.9,26,119,32,0.05,0.14,0.19,0.05,0.19,0.03,0.15,0.18,0.03,0.18,Matches
Maxwel Cornet,ciCIV,FW,Southampton,28-138,1996,2,1,72,0.8,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,0,5,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20,Matches
Vladimír Coufal,czCZE,DF,West Ham,32-174,1992,15,8,736,8.2,0,0,0,0,0,0,2,0,0.2,0.2,0.6,0.8,11,28,21,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.10,0.02,0.10,Matches
Woyo Coulibaly,frFRA,DF,Leicester City,25-268,1999,2,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Aaron Cresswell,engENG,DF,West Ham,35-059,1989,10,3,296,3.3,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.4,3,13,2,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.11,0.03,0.11,Matches
